id_entidad,denominacion,sigla,objetivo_entidad,url_sitio_web,mecanismos_atencion,proyectos_simplificacion,mae,titulo_tramite,objetivo_tramite,marco_legal,duracion_meses,duracion_dias,duracion_horas,duracion_minutos,palabras_clave,url_tramite_en_linea,url_informacion_tramite,url_aplicacion_movil,ciudadania_digital,empresa_digital,plataforma_pago,firma_digital,procedimientos,observacion_tramite,valoracion,apostilla,tramite_en_linea,tipo_acceso,concepto_costo,monto_costo,moneda_costo,cuenta_deposito_costo,descripcion_pago,forma_pago_costo,descripcion_categoria,segundo.hora_ini,continuo,primero.hora_fin,primero.hora_ini,segundo.hora_fin
449,Pro – Bolivia,PRO-BOL,administrar registrar proteger manera eficaz eficiente transparente regimen propiedad intelectual componentes manera oportuna,http://senapi.gob.bo,linea gratuita atencion clientecorreo electronico,implementacion nuevo sistema registrosla firma digitalregistro unidades productivas nuevo proinfoa conocimiento unidad registro acreditacionnuevo registro online mediante agetic,Dr. Carlos Alberto Soruco Arroyo,registro y acreditacion  de unidades productivas,realizar registro unidades productivas persona naturales juridicas artesanos proveedores,"[""DECRETO 0181""]",0,4.0,0.0,0.0,Desconocido,www.probolivia.gob.bo,http://www.probolivia.gob.bo/registro-y-acreditacion#seccion-0,https://certificacion.probolivia.gob.bo/#!/login,f,f,f,t,recepciona solicitud registro launidad productiva trave sistema luego derivar solicitud altecnico registro tecnico registro verifica solicitudllenada unidad productiva si cuenta observaciones rebota sucorreo adjuntando observaciones correccion caso tenerobservacion comunica unidad productiva realice depositobancario unidad productiva corrige lasobservaciones manda tecnico deregistro nueva verificacion unidad productiva realiza depositorespectivo cuenta banco union cuenta nº escanea deposito bancario ladeclaracion jurada manda correo electronico jefe registro jefe registro recepciona deposito yla declaracion jurada ademas instruir impresion certificado lafacturacion nombre unidad productiva realiza archivado catalogado ladeclaracion jurada unidad productiva tecnico registro realiza laelaboracion certificado manera digital deriva director ejecutivo director ejecutivo complementa certificado firmadigital envia correo electronico unidad productiva unidad productiva recibe certificado registro nacional unidad productiva participar procesos contratacion bienes servicios bajo modalidades licitacion publica anpe,cuenta base datos nit actualizados fundempresa,0.0,f,f,PUBLICO,Pago de trámite,90,BS,1-3696024,Pago por publicacion,Depósito en cuenta,Económico-Productivo,04:15 PM,Desconocido,Desconocido,Desconocido,Desconocido
32,Ministerio de Educación de Bolivia,MINEDU,diseñar implementar ejecutar politicas estrategias educativas inclusivas equitativas intraculturales interculturales plurilingües cientificas tecnica tecnologica calidad participacion social ambito territorial comunitario productivo descolonizador trave sistema educativo plurinacional,www.minedu.gob.bo,plataforma atencion publico linea gratuita linea gratuita whatsapp correo electronico informacionminedugobbo twitter minedubol youtube ministerio educacion bolivia chat linea httpchatminedugobbo,reduccion dia tramite titulo provision nacional dia habiles reduccion dia tramite titulo provision nacional dia habiles descentralizacion entrega solicitud titulacion conjunta plataformas direcciones departamentales disminucion tiempo entrega legalizaciones interior pais modificacion norma mediante resolucion ministerial designacion personal docente administrativo desburocratizacion tramites administrativos inscripcion registro docente administrativo rda personal docente egresado gestion personal administrativo unidades educativas centros educacion alternativa especial actualizacion datos rda descentralizacion legalizaciones ventanillas legalizaciones inmediatas tramites inscripcion registro docente administrativo rda egresados escuelas superiores formacion maestras maestro,Dr. Carlos Alberto Soruco Arroyo,Certificación de Nómina de Docentes,procesar certificacion nomina docentes,"[""Normas Básicas del Sistema de Organización Administrativa NB/SOA"", ""Código Civil (Art. 1311)"", ""Código de Procedimiento Civil (Art. 58 al 60)"", ""Decreto Ley N° 7458 del 30 de diciembre de 1965"", ""Ley N° 2341 del 23 de abril de 2002""]",0,0.0,24.0,0.0,nomina docentes certificacion nomina docentes,http://www.senapi.gob.bo,Línea Gratuita: 800-10-0050 WhatsApp: 71555592 Correo Electrónico: informacion@minedu.gob.bo Chat en línea: http://chat.minedu.gob.bo/,www.migracion.gob.bo,f,f,f,f,apersonarse ventanilla informaciones plataforma atencion publico solicitar legalizacion certificacion segun corresponda recibe ventanilla informaciones ticket segun numeracion correlativa dirige ventanilla legalizaciones presenta requisitos vez revisado documentos ventanilla legalizaciones usuario debe dirigirse ventanilla venta valores realizar pago segun arancel legalizacion certificacion segun corresponda presentar boleta pago arancel documentos revisados ventanilla legalizaciones ventanilla legalizaciones proporcionara contraseña tramite debera volver dentro horas recoger documento legalizado certificado segun corresponda si tramite ministerio educacionnota tiempo duracion tramite legalizacion certificacion oficinas regionales direcciones departamentales educacion dde dia habiles entrega documento legalizado certificado segun corresponda realiza fecha indicada ventanilla legalizaciones presentando contraseña tramite fotocopia cedula identidadnota documento legalizado certificado tambien puede ser recogido siguientes personasesposos fotocopia certificado matrimonio fotocopia cedula identidad esposo esposa segun correspondahermanos fotocopia cedula identidad interesado fotocopia cedula identidad hermano hermana segun correspondapadres fotocopia certificado nacimiento interesado fotocopia cedula identidad padre madre segun correspondahijos fotocopia certificado nacimiento interesado fotocopia certificado nacimiento hijo hija segun correspondaciudadanos extranjeros cedula extranjero original fotocopia cedula extranjerootras persona poder legal carta notariada fotocopia cedula identidad,tramite duracion dia digemig dia administraciones departamentales digemig administraciones departamentales santa cruz cochabamba horario atencion continuo administraciones departamentales horario discontinuo,0.0,f,f,PUBLICO,Certificación,100,BS,1-3696024,Pago por publicacion,Efectivo,Educación,06:30 PM,False,04:30 PM,12:30 PM,10:30 PM
32,Ministerio de Educación de Bolivia,MINEDU,diseñar implementar ejecutar politicas estrategias educativas inclusivas equitativas intraculturales interculturales plurilingües cientificas tecnica tecnologica calidad participacion social ambito territorial comunitario productivo descolonizador trave sistema educativo plurinacional,www.minedu.gob.bo,plataforma atencion publico linea gratuita linea gratuita whatsapp correo electronico informacionminedugobbo twitter minedubol youtube ministerio educacion bolivia chat linea httpchatminedugobbo,reduccion dia tramite titulo provision nacional dia habiles reduccion dia tramite titulo provision nacional dia habiles descentralizacion entrega solicitud titulacion conjunta plataformas direcciones departamentales disminucion tiempo entrega legalizaciones interior pais modificacion norma mediante resolucion ministerial designacion personal docente administrativo desburocratizacion tramites administrativos inscripcion registro docente administrativo rda personal docente egresado gestion personal administrativo unidades educativas centros educacion alternativa especial actualizacion datos rda descentralizacion legalizaciones ventanillas legalizaciones inmediatas tramites inscripcion registro docente administrativo rda egresados escuelas superiores formacion maestras maestro,Dr. Carlos Alberto Soruco Arroyo,Certificación del Certificado de Vencimiento de Plan de Estudios,procesar certificacion certificado vencimiento plan estudios,"[""Normas Básicas del Sistema de Organización Administrativa NB/SOA"", ""Código Civil (Art. 1311)"", ""Código de Procedimiento Civil (Art. 58 al 60)"", ""Decreto Ley N° 7458 del 30 de diciembre de 1965"", ""Ley N° 2341 del 23 de abril de 2002""]",0,0.0,24.0,0.0,vencimiento plan estudio plan certificado certificacion,http://www.senapi.gob.bo,Línea Gratuita: 800-10-0050 WhatsApp: 71555592 Correo Electrónico: informacion@minedu.gob.bo Chat en línea: http://chat.minedu.gob.bo/,www.migracion.gob.bo,f,f,f,f,apersonarse ventanilla informaciones plataforma atencion publico solicitar legalizacion certificacion segun correspondarecibe ventanilla informaciones ticket segun numeracion correlativa dirige ventanilla legalizaciones presenta requisitosuna vez revisados documentos ventanilla legalizaciones usuario debe dirigirse ventanilla venta valores realizar pago segun arancel legalizacion certificacion segun corresponda presentar boleta pago arancel documentos revisados ventanilla legalizacionesen ventanilla legalizaciones proporciona contraseña tramite volver dentro horas recoger documento legalizado certificado segun corresponda tiempo duracion tramite legalizacion certificacion oficinas regionales dia habilesla entrega documento legalizado certificado segun corresponda realiza fecha indicada ventanilla legalizaciones presentando contraseña tramite fotocopia cedula identidadnotael documento legalizado certificado tambien puede ser recogido siguientes personasesposos fotocopia certificado matrimonio fotocopia cedula identidad esposoahermanos fotocopia cedula identidad interesado fotocopia cedula identidad hermanoapadres fotocopia certificado nacimiento interesado fotocopia cedula identidad padre madre segun correspondahijos fotocopia certificado nacimiento interesado fotocopia certificado nacimiento hijoaciudadanos extranjeros cedula extranjero original fotocopia cedula extranjerootras persona poder legal carta notariada fotocopia cedula identidad,tramite duracion dia digemig dia administraciones departamentales digemig administraciones departamentales santa cruz cochabamba horario atencion continuo administraciones departamentales horario discontinuo,0.0,f,f,PUBLICO,Certificación,50,BS,1-3696024,Arancel de la Certificación del Certificado de Vencimiento de Plan de Estudios,Efectivo,Educación,06:30 PM,False,04:30 PM,12:30 PM,10:30 PM
32,Ministerio de Educación de Bolivia,MINEDU,diseñar implementar ejecutar politicas estrategias educativas inclusivas equitativas intraculturales interculturales plurilingües cientificas tecnica tecnologica calidad participacion social ambito territorial comunitario productivo descolonizador trave sistema educativo plurinacional,www.minedu.gob.bo,plataforma atencion publico linea gratuita linea gratuita whatsapp correo electronico informacionminedugobbo twitter minedubol youtube ministerio educacion bolivia chat linea httpchatminedugobbo,reduccion dia tramite titulo provision nacional dia habiles reduccion dia tramite titulo provision nacional dia habiles descentralizacion entrega solicitud titulacion conjunta plataformas direcciones departamentales disminucion tiempo entrega legalizaciones interior pais modificacion norma mediante resolucion ministerial designacion personal docente administrativo desburocratizacion tramites administrativos inscripcion registro docente administrativo rda personal docente egresado gestion personal administrativo unidades educativas centros educacion alternativa especial actualizacion datos rda descentralizacion legalizaciones ventanillas legalizaciones inmediatas tramites inscripcion registro docente administrativo rda egresados escuelas superiores formacion maestras maestro,Dr. Carlos Alberto Soruco Arroyo,"Apertura y funcionamiento, Ampliación de carreras, Cambio de domicilio de Institutos Técnicos o Tecnológicos de carácter fiscal y de convenio",emitir resolucion ministerial apertura funcionamiento ampliacion carreras cambio domicilio institutos tecnicos tecnologicos caracter fiscal convenio,"[""Resolución Ministerial N° 350, del 2 de junio de 2015, aprueba el Reglamento general de institutos técnicos y tecnológicos de carácter fiscal, de convenio y privado"", ""Resolución Ministerial N° 787, del 20 de octubre de 2015, modifica la R.M. N° 350/2015"", ""Resolución Ministerial N° 2600, del 18 de septiembre de 2017, modifica la R.M. N° 350/2015""]",0,30.0,0.0,0.0,carreras cambio domicilio institutos fiscal convenio apertura funcionamiento tecnico tecnologicos caracter,http://www.senapi.gob.bo,Línea Gratuita: 800-10-0050 WhatsApp: 71555592 Correo Electrónico: informacion@minedu.gob.bo Chat en línea: http://chat.minedu.gob.bo/,www.migracion.gob.bo,f,f,f,f,interesado presenta nota dirigida director departamental educacion adjuntando requisitos establecidos direccion departamental educacion trave subdireccion educacion superior formacion profesional realizara inspeccion ocular sustentando fotografias mobiliario equipamiento infraestructura instituto direccion general educacion superior tecnica tecnologica lingüistica artistica emitira resolucion ministerial autorizara interesado realizar deposito bancario concepto aranceles nacionales interesado recoge resolucion ministerial apertura funcionamiento ampliacion carreras cambio domicilio institutos tecnicos tecnologicos caracter fiscal convenio sede central subsede,tramite duracion dia digemig dia administraciones departamentales digemig administraciones departamentales santa cruz cochabamba horario atencion continuo administraciones departamentales horario discontinuo,0.0,f,f,PUBLICO,Pago de trámite,500,BS,Indicar que es para el trámite solicitado,"Arancel por la Apertura, funcionamiento y ampliación de institutos técnicos o tecnológicos de carácter fiscal y de convenio",Efectivo,Educación,06:30 PM,False,04:30 PM,12:30 PM,10:30 PM
32,Ministerio de Educación de Bolivia,MINEDU,diseñar implementar ejecutar politicas estrategias educativas inclusivas equitativas intraculturales interculturales plurilingües cientificas tecnica tecnologica calidad participacion social ambito territorial comunitario productivo descolonizador trave sistema educativo plurinacional,www.minedu.gob.bo,plataforma atencion publico linea gratuita linea gratuita whatsapp correo electronico informacionminedugobbo twitter minedubol youtube ministerio educacion bolivia chat linea httpchatminedugobbo,reduccion dia tramite titulo provision nacional dia habiles reduccion dia tramite titulo provision nacional dia habiles descentralizacion entrega solicitud titulacion conjunta plataformas direcciones departamentales disminucion tiempo entrega legalizaciones interior pais modificacion norma mediante resolucion ministerial designacion personal docente administrativo desburocratizacion tramites administrativos inscripcion registro docente administrativo rda personal docente egresado gestion personal administrativo unidades educativas centros educacion alternativa especial actualizacion datos rda descentralizacion legalizaciones ventanillas legalizaciones inmediatas tramites inscripcion registro docente administrativo rda egresados escuelas superiores formacion maestras maestro,Dr. Carlos Alberto Soruco Arroyo,Certificación de Carga Horaria,procesar certificacion carga horaria,"[""Normas Básicas del Sistema de Organización Administrativa NB/SOA"", ""Código Civil (Art. 1311)"", ""Código de Procedimiento Civil (Art. 58 al 60)"", ""Decreto Ley N° 7458 del 30 de diciembre de 1965"", ""Ley N° 2341 del 23 de abril de 2002""]",0,0.0,24.0,0.0,certificacion carga horaria carga horaria,http://www.senapi.gob.bo,Línea Gratuita: 800-10-0050 WhatsApp: 71555592 Correo Electrónico: informacion@minedu.gob.bo Chat en línea: http://chat.minedu.gob.bo/,www.migracion.gob.bo,f,f,f,f,apersonarse ventanilla informaciones plataforma atencion publico solicitar legalizacion certificacion segun corresponda recibir ventanilla informaciones ticket segun numeracion correlativa dirigirse ventanilla legalizaciones presentar requisitos vez revisado documentos ventanilla legalizaciones usuario debera dirigirse ventanilla venta valores realizar pago segun arancel legalizacion certificacion segun corresponda presentar boleta pago arancel documentos revisados ventanilla legalizaciones ventanilla legalizaciones proporcionara contraseña tramite debera volver dentro horas recoger documento legalizado certificado segun corresponda si tramite ministerio educacionnota tiempo duracion tramite legalizacion certificacion oficinas regionales direcciones departamentales educacion dde dia habiles entrega documento legalizado certificado segun corresponda realiza fecha indicada ventanilla legalizaciones presentando contraseña tramite fotocopia cedula identidadnota documento legalizado certificado tambien puede ser recogido siguientes personasesposos fotocopia certificado matrimonio fotocopia cedula identidad esposo esposa segun correspondahermanos fotocopia cedula identidad interesado fotocopia cedula identidad hermano hermana segun correspondapadres fotocopia certificado nacimiento interesado fotocopia cedula identidad padre madre segun correspondahijos fotocopia certificado nacimiento interesado fotocopia certificado nacimiento hijo hija segun correspondaciudadanos extranjeros cedula extranjero original fotocopia cedula extranjerootras persona poder legal carta notariada fotocopia cedula identidad,tramite duracion dia digemig dia administraciones departamentales digemig administraciones departamentales santa cruz cochabamba horario atencion continuo administraciones departamentales horario discontinuo,0.0,f,f,PUBLICO,Certificación,100,BS,1-3696024,Arancel de la Certificación de Carga Horaria,Efectivo,Educación,06:30 PM,False,04:30 PM,12:30 PM,10:30 PM
32,Ministerio de Educación de Bolivia,MINEDU,diseñar implementar ejecutar politicas estrategias educativas inclusivas equitativas intraculturales interculturales plurilingües cientificas tecnica tecnologica calidad participacion social ambito territorial comunitario productivo descolonizador trave sistema educativo plurinacional,www.minedu.gob.bo,plataforma atencion publico linea gratuita linea gratuita whatsapp correo electronico informacionminedugobbo twitter minedubol youtube ministerio educacion bolivia chat linea httpchatminedugobbo,reduccion dia tramite titulo provision nacional dia habiles reduccion dia tramite titulo provision nacional dia habiles descentralizacion entrega solicitud titulacion conjunta plataformas direcciones departamentales disminucion tiempo entrega legalizaciones interior pais modificacion norma mediante resolucion ministerial designacion personal docente administrativo desburocratizacion tramites administrativos inscripcion registro docente administrativo rda personal docente egresado gestion personal administrativo unidades educativas centros educacion alternativa especial actualizacion datos rda descentralizacion legalizaciones ventanillas legalizaciones inmediatas tramites inscripcion registro docente administrativo rda egresados escuelas superiores formacion maestras maestro,Dr. Carlos Alberto Soruco Arroyo,Certificación del Certificado de Vencimiento de Plan de Estudios con Carga Horaria,procesar certificacion certificado vencimiento plan estudios carga horaria,"[""Normas Básicas del Sistema de Organización Administrativa NB/SOA"", ""Código Civil (Art. 1311)"", ""Código de Procedimiento Civil (Art. 58 al 60)"", ""Decreto Ley N° 7458 del 30 de diciembre de 1965"", ""Ley N° 2341 del 23 de abril de 2002""]",0,0.0,24.0,0.0,certificado vencimiento plane estudios carga horaria certificacion,http://www.senapi.gob.bo,Línea Gratuita: 800-10-0050 WhatsApp: 71555592 Correo Electrónico: informacion@minedu.gob.bo Chat en línea: http://chat.minedu.gob.bo/,www.migracion.gob.bo,f,f,f,f,apersonarse ventanilla informaciones plataforma atencion publico solicitar legalizacion certificacion segun corresponda recibe ventanilla informaciones ticket segun numeracion correlativa dirige ventanilla legalizaciones presenta requisitos vez revisados documentos ventanilla legalizaciones usuario debe dirigirse ventanilla venta valores realizar pago segun arancel lalegalizacion certificacion segun corresponda presentar boleta pago arancel documentos revisados ventanilla legalizaciones ventanilla legalizaciones proporciona contraseña tramite volver dentro horas recoger documento legalizado certificado segun corresponda tiempo duracion tramite legalizacion certificacion oficinas regionales dia habiles entrega documento legalizado certificado segun corresponda realiza fecha indicada ventanilla legalizaciones presentando contraseña tramite fotocopia cedula identidadnotael documento legalizado certificado tambien puede ser recogido siguientes personasesposos fotocopia certificado matrimonio fotocopia cedula identidad esposoahermanos fotocopia cedula identidad interesado fotocopia cedula identidad hermanoapadres fotocopia certificado nacimiento interesado fotocopia cedula identidad padre madre segun correspondahijos fotocopia certificado nacimiento interesado fotocopia certificado nacimiento hijoaciudadanos extranjeros cedula extranjero original fotocopia cedula extranjerootras persona poder legal carta notariada fotocopia cedula identidad,tramite duracion dia digemig dia administraciones departamentales digemig administraciones departamentales santa cruz cochabamba horario atencion continuo administraciones departamentales horario discontinuo,0.0,f,f,PUBLICO,Certificación,150,BS,1-3696024,Pago por publicacion,Efectivo,Educación,06:30 PM,False,04:30 PM,12:30 PM,10:30 PM
32,Ministerio de Educación de Bolivia,MINEDU,diseñar implementar ejecutar politicas estrategias educativas inclusivas equitativas intraculturales interculturales plurilingües cientificas tecnica tecnologica calidad participacion social ambito territorial comunitario productivo descolonizador trave sistema educativo plurinacional,www.minedu.gob.bo,plataforma atencion publico linea gratuita linea gratuita whatsapp correo electronico informacionminedugobbo twitter minedubol youtube ministerio educacion bolivia chat linea httpchatminedugobbo,reduccion dia tramite titulo provision nacional dia habiles reduccion dia tramite titulo provision nacional dia habiles descentralizacion entrega solicitud titulacion conjunta plataformas direcciones departamentales disminucion tiempo entrega legalizaciones interior pais modificacion norma mediante resolucion ministerial designacion personal docente administrativo desburocratizacion tramites administrativos inscripcion registro docente administrativo rda personal docente egresado gestion personal administrativo unidades educativas centros educacion alternativa especial actualizacion datos rda descentralizacion legalizaciones ventanillas legalizaciones inmediatas tramites inscripcion registro docente administrativo rda egresados escuelas superiores formacion maestras maestro,Dr. Carlos Alberto Soruco Arroyo,Título Profesional por Revalidación y Homologación,emitir titulos profesionales revalidacion homologacion,"[""Decreto Supremo Nº 1929 de 18 marzo de 2014""]",0,15.0,0.0,0.0,profesional titulo revalidacion homologacion,http://www.senapi.gob.bo,Línea Gratuita: 800-10-0050 WhatsApp: 71555592 Correo Electrónico: informacion@minedu.gob.bo Chat en línea: http://chat.minedu.gob.bo/,www.migracion.gob.bo,f,f,f,f,solicitar emision certificado supletorio titulo provision nacional actual titulo profesional presentar requisitos segun httputpminedugobbo ventanilla titulos profesionales direccion departamental educacion correspondiente entregaran contraseña tramite dentro tiempo establecido estudiante apersona ventanilla titulos profesionales direccion departamental educacion correspondiente recoger certificado supletorio titulo provision nacional actual titulo profesional presentando previamente comprobante pago contraseña tramite llenar firmar constancia recepcion certificado supletorio titulo provision nacional actual titulo profesional,tramite duracion dia digemig dia administraciones departamentales digemig administraciones departamentales santa cruz cochabamba horario atencion continuo administraciones departamentales horario discontinuo,0.0,f,f,PUBLICO,Pago de trámite,1200,BS,10000004669343,Arancel por el Título Profesional por Revalidación y Homologación,Depósito en cuenta,Educación,06:30 PM,False,04:30 PM,12:30 PM,10:30 PM
32,Ministerio de Educación de Bolivia,MINEDU,diseñar implementar ejecutar politicas estrategias educativas inclusivas equitativas intraculturales interculturales plurilingües cientificas tecnica tecnologica calidad participacion social ambito territorial comunitario productivo descolonizador trave sistema educativo plurinacional,www.minedu.gob.bo,plataforma atencion publico linea gratuita linea gratuita whatsapp correo electronico informacionminedugobbo twitter minedubol youtube ministerio educacion bolivia chat linea httpchatminedugobbo,reduccion dia tramite titulo provision nacional dia habiles reduccion dia tramite titulo provision nacional dia habiles descentralizacion entrega solicitud titulacion conjunta plataformas direcciones departamentales disminucion tiempo entrega legalizaciones interior pais modificacion norma mediante resolucion ministerial designacion personal docente administrativo desburocratizacion tramites administrativos inscripcion registro docente administrativo rda personal docente egresado gestion personal administrativo unidades educativas centros educacion alternativa especial actualizacion datos rda descentralizacion legalizaciones ventanillas legalizaciones inmediatas tramites inscripcion registro docente administrativo rda egresados escuelas superiores formacion maestras maestro,Dr. Carlos Alberto Soruco Arroyo,Certificación del Certificado de Aprobación del Examen de Grado original y fotocopia,procesar certificacion certificado aprobacion examen grado original fotocopia,"[""Normas Básicas del Sistema de Organización Administrativa NB/SOA"", ""Código Civil (Art. 1311)"", ""Código de Procedimiento Civil (Art. 58 al 60)"", ""Decreto Ley N° 7458 del 30 de diciembre de 1965"", ""Ley N° 2341 del 23 de abril de 2002""]",0,0.0,24.0,0.0,certificado examen grado original fotocopia certificacion aprobacion,http://www.senapi.gob.bo,Línea Gratuita: 800-10-0050 WhatsApp: 71555592 Correo Electrónico: informacion@minedu.gob.bo Chat en línea: http://chat.minedu.gob.bo/,www.migracion.gob.bo,f,f,f,f,apersonarse ventanilla informaciones plataforma atencion publico solicitarla legalizacion certificacion segun corresponda recibe ventanilla informaciones ticket segun numeracion correlativa dirige ventanilla legalizaciones presenta requisitos vez revisados documentos ventanilla legalizaciones usuario debe dirigirse ventanilla venta valores realizar pago segun arancel legalizacion certificacion segun corresponda presentar boleta pago arancel documentos revisados ventanilla legalizaciones ventanilla legalizaciones proporciona contraseña tramite volver dentro horas recoger documento legalizado certificado segun corresponda tiempo duracion tramite legalizacion certificacion oficinas regionales dia habiles entrega documento legalizado certificado segun corresponda realiza fecha indicada ventanilla legalizaciones presentando contraseña tramite fotocopia cedula identidadnotael documento legalizado certificado tambien puede ser recogido siguientes personasesposos fotocopia certificado matrimonio fotocopia cedula identidad esposoahermanos fotocopia cedula identidad interesado fotocopia cedula identidad hermanoapadres fotocopia certificado nacimiento interesado fotocopia cedula identidad padre madre segun correspondahijos fotocopia certificado nacimiento interesado fotocopia certificado nacimiento hijoaciudadanos extranjeros cedula extranjero original fotocopia cedula extranjerootras persona poder legal carta notariada fotocopia cedula identidad,tramite duracion dia digemig dia administraciones departamentales digemig administraciones departamentales santa cruz cochabamba horario atencion continuo administraciones departamentales horario discontinuo,0.0,f,f,PUBLICO,Certificación,100,BS,1-3696024,Arancel por la Certificación del Certificado de Aprobación del Examen de Grado Original y Fotocopia,Efectivo,Educación,06:30 PM,False,04:30 PM,12:30 PM,10:30 PM
32,Ministerio de Educación de Bolivia,MINEDU,diseñar implementar ejecutar politicas estrategias educativas inclusivas equitativas intraculturales interculturales plurilingües cientificas tecnica tecnologica calidad participacion social ambito territorial comunitario productivo descolonizador trave sistema educativo plurinacional,www.minedu.gob.bo,plataforma atencion publico linea gratuita linea gratuita whatsapp correo electronico informacionminedugobbo twitter minedubol youtube ministerio educacion bolivia chat linea httpchatminedugobbo,reduccion dia tramite titulo provision nacional dia habiles reduccion dia tramite titulo provision nacional dia habiles descentralizacion entrega solicitud titulacion conjunta plataformas direcciones departamentales disminucion tiempo entrega legalizaciones interior pais modificacion norma mediante resolucion ministerial designacion personal docente administrativo desburocratizacion tramites administrativos inscripcion registro docente administrativo rda personal docente egresado gestion personal administrativo unidades educativas centros educacion alternativa especial actualizacion datos rda descentralizacion legalizaciones ventanillas legalizaciones inmediatas tramites inscripcion registro docente administrativo rda egresados escuelas superiores formacion maestras maestro,Dr. Carlos Alberto Soruco Arroyo,Certificación del Certificado de Universidad Plena Privada,procesar certificacion certificado universidad plenum privada,"[""Normas Básicas del Sistema de Organización Administrativa NB/SOA"", ""Código Civil (Art. 1311)"", ""Código de Procedimiento Civil (Art. 58 al 60)"", ""Decreto Ley N° 7458 del 30 de diciembre de 1965"", ""Ley N° 2341 del 23 de abril de 2002""]",0,0.0,24.0,0.0,certificado universidad plenum privada plenum privada certificacion,http://www.senapi.gob.bo,Línea Gratuita: 800-10-0050 WhatsApp: 71555592 Correo Electrónico: informacion@minedu.gob.bo Chat en línea: http://chat.minedu.gob.bo/,www.migracion.gob.bo,f,f,f,f,apersonarse ventanilla informaciones plataforma atencion publico solicitar legalizacion certificacion segun corresponda recibe ventanilla informaciones ticket segun numeracion correlativa dirige ventanilla legalizaciones presenta requisitos vez revisados documentos ventanilla legalizaciones usuario debe dirigirse ventanilla venta valores realizar pago segun arancel legalizacion certificacion segun corresponda presentar boleta pago arancel documentos revisados ventanilla legalizaciones ventanilla legalizaciones proporciona contraseña tramite volver dentro horas recoger documento legalizado certificado segun corresponda tiempo duracion tramite legalizacion certificacion oficinas regionales dia habiles entrega documento legalizado certificado segun corresponda realiza fecha indicada ventanilla legalizaciones presentando contraseña tramite fotocopia cedula identidadnotael documento legalizado certificado tambien puede ser recogido siguientes personasesposos fotocopia certificado matrimonio fotocopia cedula identidad esposoahermanos fotocopia cedula identidad interesado fotocopia cedula identidad hermanoapadres fotocopia certificado nacimiento interesado fotocopia cedula identidad padre madre segun correspondahijos fotocopia certificado nacimiento interesado fotocopia certificado nacimiento hijoaciudadanos extranjeros cedula extranjero original fotocopia cedula extranjerootras persona poder legal carta notariada fotocopia cedula identidad,tramite duracion dia digemig dia administraciones departamentales digemig administraciones departamentales santa cruz cochabamba horario atencion continuo administraciones departamentales horario discontinuo,0.0,f,f,PUBLICO,Certificación,200,BS,1-3696024,Arancel por la Certificación del Certificado de Universidad Plena Privada,Efectivo,Educación,06:30 PM,False,04:30 PM,12:30 PM,10:30 PM
32,Ministerio de Educación de Bolivia,MINEDU,diseñar implementar ejecutar politicas estrategias educativas inclusivas equitativas intraculturales interculturales plurilingües cientificas tecnica tecnologica calidad participacion social ambito territorial comunitario productivo descolonizador trave sistema educativo plurinacional,www.minedu.gob.bo,plataforma atencion publico linea gratuita linea gratuita whatsapp correo electronico informacionminedugobbo twitter minedubol youtube ministerio educacion bolivia chat linea httpchatminedugobbo,reduccion dia tramite titulo provision nacional dia habiles reduccion dia tramite titulo provision nacional dia habiles descentralizacion entrega solicitud titulacion conjunta plataformas direcciones departamentales disminucion tiempo entrega legalizaciones interior pais modificacion norma mediante resolucion ministerial designacion personal docente administrativo desburocratizacion tramites administrativos inscripcion registro docente administrativo rda personal docente egresado gestion personal administrativo unidades educativas centros educacion alternativa especial actualizacion datos rda descentralizacion legalizaciones ventanillas legalizaciones inmediatas tramites inscripcion registro docente administrativo rda egresados escuelas superiores formacion maestras maestro,Dr. Carlos Alberto Soruco Arroyo,"Título Profesional a Nivel Técnico Superior y Técnico Medio de Institutos Técnicos y Tecnológicos de carácter fiscal, de convenio y privados",emitir titulos profesionales nivel tecnico superior tecnico medio institutos tecnicos tecnologicos caracter fiscal convenio privados,"[""Decreto Supremo Nº 1929 de 18 marzo de 2014""]",0,15.0,0.0,0.0,profesional nivel superior medio institutos fiscal convenio privado titulo tecnico tecnologicos,http://www.senapi.gob.bo,http://chat.minedu.gob.bo/client.php?locale=sp&noagents=0&url=http%3A//chat.minedu.gob.bo/&referrer=,www.migracion.gob.bo,f,f,f,f,solicitar emision certificado supletorio titulo provision nacional actual titulo profesional presentar requisitos segun httputpminedugobbo ventanilla titulos profesionales direccion departamental educacion correspondiente entregara contraseña tramite dentro tiempo establecido estudiante apersona ventanilla titulos profesionales direccion departamental educacion correspondiente recoger certificado supletorio titulo provision nacional actual titulo profesional presentando previamente comprobante pago contraseña tramite llenar firmar constancia recepcion certificado supletorio titulo provision nacional actual titulo profesional,tramite duracion dia digemig dia administraciones departamentales digemig administraciones departamentales santa cruz cochabamba horario atencion continuo administraciones departamentales horario discontinuo,0.0,t,f,PUBLICO,Institutos Técnicos Privados Técnico Superior,550,BS,10000004669343,Pago por publicacion,Depósito en cuenta,Educación,06:30 PM,False,04:30 PM,12:30 PM,10:30 PM
